"Exness","Symbol","Timestamp","Bid","Ask"
"exness","EURUSD","2026-09-25 03:01:41.255Z",1.13702,1.13708
"exness","EURUSD","2026-09-25 03:01:43.664Z",1.13701,1.13707
"exness","EURUSD","2026-09-25 03:01:52.006Z",1.13703,1.13709
"exness","EURUSD","2026-09-25 03:01:53.340Z",1.13702,1.13708
"exness","EURUSD","2026-09-25 03:02:02.184Z",1.13703,1.13709
"exness","EURUSD","2026-09-25 03:02:03.403Z",1.13704,1.1371
"exness","EURUSD","2026-09-25 03:02:07.923Z",1.13703,1.13709
"exness","EURUSD","2026-09-25 03:02:10.187Z",1.13704,1.1371
"exness","EURUSD","2026-09-25 03:02:12.549Z",1.13702,1.13708
"exness","EURUSD","2026-09-25 03:02:12.566Z",1.137,1.13706
"exness","EURUSD","2026-09-25 03:02:18.943Z",1.13699,1.13705
"exness","EURUSD","2026-09-25 03:02:22.346Z",1.1369799999999999,1.13704
"exness","EURUSD","2026-09-25 03:02:23.436Z",1.13699,1.13705
"exness","EURUSD","2026-09-25 03:02:26.162Z",1.1369799999999999,1.13704
"exness","EURUSD","2026-09-25 03:02:35.310Z",1.13696,1.13702
"exness","EURUSD","2026-09-25 03:02:37.263Z",1.13699,1.13705
"exness","EURUSD","2026-09-25 03:02:39.352Z",1.137,1.13706
"exness","EURUSD","2026-09-25 03:02:45.220Z",1.13699,1.13705
"exness","EURUSD","2026-09-25 03:02:46.936Z",1.137,1.13706
"exness","EURUSD","2026-09-25 03:02:48.109Z",1.13699,1.13705
"exness","EURUSD","2026-09-25 03:03:03.407Z",1.137,1.13706
"exness","EURUSD","2026-09-25 03:03:06.084Z",1.13699,1.13705
"exness","EURUSD","2026-09-25 03:03:15.444Z",1.137,1.13706
"exness","EURUSD","2026-09-25 03:03:27.085Z",1.13701,1.13707
"exness","EURUSD","2026-09-25 03:03:28.980Z",1.137,1.13706
"exness","EURUSD","2026-09-25 03:03:30.081Z",1.13699,1.13705
"exness","EURUSD","2026-09-25 03:03:31.593Z",1.137,1.13706
"exness","EURUSD","2026-09-25 03:03:36.003Z",1.13701,1.13707
"exness","EURUSD","2026-09-25 03:03:41.956Z",1.137,1.13706
"exness","EURUSD","2026-09-25 03:04:01.566Z",1.13699,1.13705
"exness","EURUSD","2026-09-25 03:04:14.879Z",1.137,1.13706
"exness","EURUSD","2026-09-25 03:04:16.110Z",1.13701,1.13707
"exness","EURUSD","2026-09-25 03:04:18.931Z",1.137,1.13706
"exness","EURUSD","2026-09-25 03:04:22.471Z",1.13702,1.13708
"exness","EURUSD","2026-09-25 03:04:22.562Z",1.13704,1.1371
"exness","EURUSD","2026-09-25 03:04:24.084Z",1.13705,1.13711
"exness","EURUSD","2026-09-25 03:04:25.465Z",1.13704,1.1371
"exness","EURUSD","2026-09-25 03:04:41.364Z",1.13705,1.13711
